"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"60 years"	"60"	"Male"	"M"	"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)"	"GR113-127"	1549	34239517	4.5
	"60 years"	"60"	"Male"	"M"	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	"GR113-128"	796	34239517	2.3
	"60 years"	"60"	"Male"	"M"	"Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3,*U01.5-*U01.9,*U02,X85-X92,X96-Y09,Y87.1)"	"GR113-129"	753	34239517	2.2
	"60 years"	"60"	"Male"	"M"	"#Legal intervention (Y35,Y89.0)"	"GR113-130"	61	34239517	0.2
	"60 years"	"60"	"Male"	"M"	"Events of undetermined intent (Y10-Y34,Y87.2,Y89.9)"	"GR113-131"	745	34239517	2.2
	"60 years"	"60"	"Male"	"M"	"Discharge of firearms, undetermined intent (Y22-Y24)"	"GR113-132"	45	34239517	0.1
	"60 years"	"60"	"Male"	"M"	"Other and unspecified events of undetermined intent and their sequelae (Y10-Y21,Y25-Y34,Y87.2,Y89.9)"	"GR113-133"	700	34239517	2.0
	"60 years"	"60"	"Male"	"M"	"#Operations of war and their sequelae (Y36,Y89.1)"	"GR113-134"	6	34239517	Unreliable
	"60 years"	"60"	"Male"	"M"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	455	34239517	1.3
	"60 years"	"60"	"Male"	"M"	"#Enterocolitis due to Clostridium difficile (A04.7)"	"GR113-136"	387	34239517	1.1
	"61 years"	"61"	"Female"	"F"	"#Salmonella infections (A01-A02)"	"GR113-001"	3	35783277	Unreliable
	"61 years"	"61"	"Female"	"F"	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	0	35783277	Unreliable
	"61 years"	"61"	"Female"	"F"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	564	35783277	1.6
	"61 years"	"61"	"Female"	"F"	"#Tuberculosis (A16-A19)"	"GR113-004"	47	35783277	0.1
	"61 years"	"61"	"Female"	"F"	"Respiratory tuberculosis (A16)"	"GR113-005"	29	35783277	0.1
	"61 years"	"61"	"Female"	"F"	"Other tuberculosis (A17-A19)"	"GR113-006"	18	35783277	Unreliable
	"61 years"	"61"	"Female"	"F"	"#Whooping cough (A37)"	"GR113-007"	0	35783277	Unreliable
	"61 years"	"61"	"Female"	"F"	"#Scarlet fever and erysipelas (A38,A46)"	"GR113-008"	0	35783277	Unreliable
	"61 years"	"61"	"Female"	"F"	"#Meningococcal infection (A39)"	"GR113-009"	3	35783277	Unreliable
	"61 years"	"61"	"Female"	"F"	"#Septicemia (A40-A41)"	"GR113-010"	4836	35783277	13.5
	"61 years"	"61"	"Female"	"F"	"#Syphilis (A50-A53)"	"GR113-011"	2	35783277	Unreliable
	"61 years"	"61"	"Female"	"F"	"#Acute poliomyelitis (A80)"	"GR113-012"	0	35783277	Unreliable
	"61 years"	"61"	"Female"	"F"	"#Arthropod-borne viral encephalitis (A83-A84,A85.2)"	"GR113-013"	0	35783277	Unreliable
	"61 years"	"61"	"Female"	"F"	"#Measles (B05)"	"GR113-014"	0	35783277	Unreliable
	"61 years"	"61"	"Female"	"F"	"#Viral hepatitis (B15-B19)"	"GR113-015"	1384	35783277	3.9
	"61 years"	"61"	"Female"	"F"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	618	35783277	1.7
	"61 years"	"61"	"Female"	"F"	"#Malaria (B50-B54)"	"GR113-017"	2	35783277	Unreliable
	"61 years"	"61"	"Female"	"F"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	888	35783277	2.5
	"61 years"	"61"	"Female"	"F"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	107802	35783277	301.3
	"61 years"	"61"	"Female"	"F"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	1079	35783277	3.0
	"61 years"	"61"	"Female"	"F"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	1265	35783277	3.5
	"61 years"	"61"	"Female"	"F"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	1413	35783277	3.9
	"61 years"	"61"	"Female"	"F"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	8474	35783277	23.7
	"61 years"	"61"	"Female"	"F"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	2845	35783277	8.0
	"61 years"	"61"	"Female"	"F"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	6776	35783277	18.9
	"61 years"	"61"	"Female"	"F"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	424	35783277	1.2
	"61 years"	"61"	"Female"	"F"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	29428	35783277	82.2
	"61 years"	"61"	"Female"	"F"	"Malignant melanoma of skin (C43)"	"GR113-028"	1219	35783277	3.4
	"61 years"	"61"	"Female"	"F"	"Malignant neoplasm of breast (C50)"	"GR113-029"	18520	35783277	51.8
	"61 years"	"61"	"Female"	"F"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	1802	35783277	5.0
	"61 years"	"61"	"Female"	"F"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	4324	35783277	12.1
	"61 years"	"61"	"Female"	"F"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	6757	35783277	18.9
	"61 years"	"61"	"Female"	"F"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	0	35783277	Unreliable
	"61 years"	"61"	"Female"	"F"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	1722	35783277	4.8
	"61 years"	"61"	"Female"	"F"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	877	35783277	2.5
	"61 years"	"61"	"Female"	"F"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	2942	35783277	8.2
	"61 years"	"61"	"Female"	"F"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	7019	35783277	19.6
	"61 years"	"61"	"Female"	"F"	"Hodgkin disease (C81)"	"GR113-038"	145	35783277	0.4
	"61 years"	"61"	"Female"	"F"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	2580	35783277	7.2
	"61 years"	"61"	"Female"	"F"	"Leukemia (C91-C95)"	"GR113-040"	2461	35783277	6.9
	"61 years"	"61"	"Female"	"F"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	1825	35783277	5.1
	"61 years"	"61"	"Female"	"F"	"Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue (C96)"	"GR113-042"	8	35783277	Unreliable
	"61 years"	"61"	"Female"	"F"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	10916	35783277	30.5
	"61 years"	"61"	"Female"	"F"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	1351	35783277	3.8
	"61 years"	"61"	"Female"	"F"	"#Anemias (D50-D64)"	"GR113-045"	413	35783277	1.2
	"61 years"	"61"	"Female"	"F"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	11090	35783277	31.0
	"61 years"	"61"	"Female"	"F"	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	291	35783277	0.8
	"61 years"	"61"	"Female"	"F"	"Malnutrition (E40-E46)"	"GR113-048"	281	35783277	0.8
	"61 years"	"61"	"Female"	"F"	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	10	35783277	Unreliable
	"61 years"	"61"	"Female"	"F"	"#Meningitis (G00,G03)"	"GR113-050"	112	35783277	0.3
	"61 years"	"61"	"Female"	"F"	"#Parkinson disease (G20-G21)"	"GR113-051"	421	35783277	1.2
	"61 years"	"61"	"Female"	"F"	"#Alzheimer disease (G30)"	"GR113-052"	1103	35783277	3.1
	"61 years"	"61"	"Female"	"F"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	63925	35783277	178.6
	"61 years"	"61"	"Female"	"F"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	48954	35783277	136.8
	"61 years"	"61"	"Female"	"F"	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	478	35783277	1.3
	"61 years"	"61"	"Female"	"F"	"Hypertensive heart disease (I11)"	"GR113-056"	3730	35783277	10.4
	"61 years"	"61"	"Female"	"F"	"Hypertensive heart and renal disease (I13)"	"GR113-057"	339	35783277	0.9
	"61 years"	"61"	"Female"	"F"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	30710	35783277	85.8
	"61 years"	"61"	"Female"	"F"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	12422	35783277	34.7
	"61 years"	"61"	"Female"	"F"	"Other acute ischemic heart diseases (I24)"	"GR113-060"	396	35783277	1.1
	"61 years"	"61"	"Female"	"F"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	17892	35783277	50.0
	"61 years"	"61"	"Female"	"F"	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	6277	35783277	17.5
	"61 years"	"61"	"Female"	"F"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	11615	35783277	32.5
	"61 years"	"61"	"Female"	"F"	"Other heart diseases (I26-I51)"	"GR113-064"	13697	35783277	38.3
	"61 years"	"61"	"Female"	"F"	"Acute and subacute endocarditis (I33)"	"GR113-065"	160	35783277	0.4
	"61 years"	"61"	"Female"	"F"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	97	35783277	0.3
	"61 years"	"61"	"Female"	"F"	"Heart failure (I50)"	"GR113-067"	2831	35783277	7.9
	"61 years"	"61"	"Female"	"F"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	10609	35783277	29.6
	"61 years"	"61"	"Female"	"F"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	2344	35783277	6.6
	"61 years"	"61"	"Female"	"F"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	10649	35783277	29.8
	"61 years"	"61"	"Female"	"F"	"#Atherosclerosis (I70)"	"GR113-071"	360	35783277	1.0
	"61 years"	"61"	"Female"	"F"	"Other diseases of circulatory system (I71-I78)"	"GR113-072"	1618	35783277	4.5
	"61 years"	"61"	"Female"	"F"	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	815	35783277	2.3
	"61 years"	"61"	"Female"	"F"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	803	35783277	2.2
	"61 years"	"61"	"Female"	"F"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	576	35783277	1.6
	"61 years"	"61"	"Female"	"F"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	3770	35783277	10.5
	"61 years"	"61"	"Female"	"F"	"Influenza (J09-J11)"	"GR113-077"	327	35783277	0.9
	"61 years"	"61"	"Female"	"F"	"Pneumonia (J12-J18)"	"GR113-078"	3443	35783277	9.6
	"61 years"	"61"	"Female"	"F"	"Other acute lower respiratory infections (J20-J22,U04)"	"GR113-079"	17	35783277	Unreliable
	"61 years"	"61"	"Female"	"F"	"#Acute bronchitis and bronchiolitis (J20-J21)"	"GR113-080"	14	35783277	Unreliable
	"61 years"	"61"	"Female"	"F"	"Other and unspecified acute lower respiratory infections (J22,U04)"	"GR113-081"	3	35783277	Unreliable
	"61 years"	"61"	"Female"	"F"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	16419	35783277	45.9
	"61 years"	"61"	"Female"	"F"	"Bronchitis, chronic and unspecified (J40-J42)"	"GR113-083"	68	35783277	0.2
	"61 years"	"61"	"Female"	"F"	"Emphysema (J43)"	"GR113-084"	1462	35783277	4.1
	"61 years"	"61"	"Female"	"F"	"Asthma (J45-J46)"	"GR113-085"	694	35783277	1.9
	"61 years"	"61"	"Female"	"F"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	14195	35783277	39.7
	"61 years"	"61"	"Female"	"F"	"#Pneumoconioses and chemical effects (J60-J66,J68,U07.0)"	"GR113-087"	10	35783277	Unreliable
	"61 years"	"61"	"Female"	"F"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	935	35783277	2.6
	"61 years"	"61"	"Female"	"F"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	3391	35783277	9.5
	"61 years"	"61"	"Female"	"F"	"#Peptic ulcer (K25-K28)"	"GR113-090"	351	35783277	1.0
	"61 years"	"61"	"Female"	"F"	"#Diseases of appendix (K35-K38)"	"GR113-091"	40	35783277	0.1
	"61 years"	"61"	"Female"	"F"	"#Hernia (K40-K46)"	"GR113-092"	199	35783277	0.6
	"61 years"	"61"	"Female"	"F"	"#Chronic liver disease and cirrhosis (K70,K73-K74)"	"GR113-093"	5972	35783277	16.7
	"61 years"	"61"	"Female"	"F"	"Alcoholic liver disease (K70)"	"GR113-094"	2675	35783277	7.5
	"61 years"	"61"	"Female"	"F"	"Other chronic liver disease and cirrhosis (K73-K74)"	"GR113-095"	3297	35783277	9.2
	"61 years"	"61"	"Female"	"F"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	260	35783277	0.7
	"61 years"	"61"	"Female"	"F"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	4592	35783277	12.8
	"61 years"	"61"	"Female"	"F"	"Acute and rapidly progressive nephritic and nephrotic syndrome (N00-N01,N04)"	"GR113-098"	17	35783277	Unreliable
	"61 years"	"61"	"Female"	"F"	"Chronic glomerulonephritis, nephritis and nephropathy not specified as acute or chronic, and renal sclerosis unspecified (N02-N03,N05-N07,N26)"	"GR113-099"	98	35783277	0.3
	"61 years"	"61"	"Female"	"F"	"Renal failure (N17-N19)"	"GR113-100"	4472	35783277	12.5
	"61 years"	"61"	"Female"	"F"	"Other disorders of kidney (N25,N27)"	"GR113-101"	5	35783277	Unreliable
	"61 years"	"61"	"Female"	"F"	"#Infections of kidney (N10-N12,N13.6,N15.1)"	"GR113-102"	107	35783277	0.3
	"61 years"	"61"	"Female"	"F"	"#Hyperplasia of prostate (N40)"	"GR113-103"	0	35783277	Unreliable
	"61 years"	"61"	"Female"	"F"	"#Inflammatory diseases of female pelvic organs (N70-N76)"	"GR113-104"	34	35783277	0.1
	"61 years"	"61"	"Female"	"F"	"#Pregnancy, childbirth and the puerperium (O00-O99)"	"GR113-105"	5	35783277	Unreliable
	"61 years"	"61"	"Female"	"F"	"Pregnancy with abortive outcome (O00-O07)"	"GR113-106"	0	35783277	Unreliable
	"61 years"	"61"	"Female"	"F"	"Other complications of pregnancy, childbirth and the puerperium (O10-O99)"	"GR113-107"	5	35783277	Unreliable
	"61 years"	"61"	"Female"	"F"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	1	35783277	Unreliable
	"61 years"	"61"	"Female"	"F"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	838	35783277	2.3
	"61 years"	"61"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	2089	35783277	5.8
	"61 years"	"61"	"Female"	"F"	"All other diseases (Residual) "	"GR113-111"	24542	35783277	68.6
	"61 years"	"61"	"Female"	"F"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	8490	35783277	23.7
	"61 years"	"61"	"Female"	"F"	"Transport accidents (V01-V99,Y85)"	"GR113-113"	2793	35783277	7.8
	"61 years"	"61"	"Female"	"F"	"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)"	"GR113-114"	2628	35783277	7.3
	"61 years"	"61"	"Female"	"F"	"Other land transport accidents (V01,V05-V06,V09.1,V09.3-V09.9,V10-V11,V15-V18,V19.3,V19.8-V19.9,V80.0-V80.2,V80.6-V80.9,V81.2-V81.9,V82.2-V82.9,V87.9,V88.9,V89.1,V89.3,V89.9)"	"GR113-115"	56	35783277	0.2
	"61 years"	"61"	"Female"	"F"	"Water, air and space, and other and unspecified transport accidents and their sequelae (V90-V99,Y85)"	"GR113-116"	109	35783277	0.3
	"61 years"	"61"	"Female"	"F"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	5697	35783277	15.9
	"61 years"	"61"	"Female"	"F"	"Falls (W00-W19)"	"GR113-118"	1322	35783277	3.7
	"61 years"	"61"	"Female"	"F"	"Accidental discharge of firearms (W32-W34)"	"GR113-119"	14	35783277	Unreliable
	"61 years"	"61"	"Female"	"F"	"Accidental drowning and submersion (W65-W74)"	"GR113-120"	172	35783277	0.5
	"61 years"	"61"	"Female"	"F"	"Accidental exposure to smoke, fire and flames (X00-X09)"	"GR113-121"	374	35783277	1.0
	"61 years"	"61"	"Female"	"F"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	2716	35783277	7.6
	"61 years"	"61"	"Female"	"F"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	1099	35783277	3.1
	"61 years"	"61"	"Female"	"F"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	2517	35783277	7.0
	"61 years"	"61"	"Female"	"F"	"Intentional self-harm (suicide) by discharge of firearms (X72-X74)"	"GR113-125"	848	35783277	2.4
	"61 years"	"61"	"Female"	"F"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	1669	35783277	4.7
	"61 years"	"61"	"Female"	"F"	"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)"	"GR113-127"	557	35783277	1.6
	"61 years"	"61"	"Female"	"F"	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	"GR113-128"	265	35783277	0.7
	"61 years"	"61"	"Female"	"F"	"Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3,*U01.5-*U01.9,*U02,X85-X92,X96-Y09,Y87.1)"	"GR113-129"	292	35783277	0.8
	"61 years"	"61"	"Female"	"F"	"#Legal intervention (Y35,Y89.0)"	"GR113-130"	5	35783277	Unreliable
	"61 years"	"61"	"Female"	"F"	"Events of undetermined intent (Y10-Y34,Y87.2,Y89.9)"	"GR113-131"	424	35783277	1.2
	"61 years"	"61"	"Female"	"F"	"Discharge of firearms, undetermined intent (Y22-Y24)"	"GR113-132"	10	35783277	Unreliable
	"61 years"	"61"	"Female"	"F"	"Other and unspecified events of undetermined intent and their sequelae (Y10-Y21,Y25-Y34,Y87.2,Y89.9)"	"GR113-133"	414	35783277	1.2
	"61 years"	"61"	"Female"	"F"	"#Operations of war and their sequelae (Y36,Y89.1)"	"GR113-134"	0	35783277	Unreliable
	"61 years"	"61"	"Female"	"F"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	508	35783277	1.4
	"61 years"	"61"	"Female"	"F"	"#Enterocolitis due to Clostridium difficile (A04.7)"	"GR113-136"	403	35783277	1.1
	"61 years"	"61"	"Male"	"M"	"#Salmonella infections (A01-A02)"	"GR113-001"	8	33015653	Unreliable
	"61 years"	"61"	"Male"	"M"	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	2	33015653	Unreliable
	"61 years"	"61"	"Male"	"M"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	551	33015653	1.7
	"61 years"	"61"	"Male"	"M"	"#Tuberculosis (A16-A19)"	"GR113-004"	153	33015653	0.5
	"61 years"	"61"	"Male"	"M"	"Respiratory tuberculosis (A16)"	"GR113-005"	116	33015653	0.4
	"61 years"	"61"	"Male"	"M"	"Other tuberculosis (A17-A19)"	"GR113-006"	37	33015653	0.1
	"61 years"	"61"	"Male"	"M"	"#Whooping cough (A37)"	"GR113-007"	0	33015653	Unreliable
	"61 years"	"61"	"Male"	"M"	"#Scarlet fever and erysipelas (A38,A46)"	"GR113-008"	0	33015653	Unreliable
	"61 years"	"61"	"Male"	"M"	"#Meningococcal infection (A39)"	"GR113-009"	8	33015653	Unreliable
	"61 years"	"61"	"Male"	"M"	"#Septicemia (A40-A41)"	"GR113-010"	5443	33015653	16.5
	"61 years"	"61"	"Male"	"M"	"#Syphilis (A50-A53)"	"GR113-011"	8	33015653	Unreliable
	"61 years"	"61"	"Male"	"M"	"#Acute poliomyelitis (A80)"	"GR113-012"	0	33015653	Unreliable
	"61 years"	"61"	"Male"	"M"	"#Arthropod-borne viral encephalitis (A83-A84,A85.2)"	"GR113-013"	1	33015653	Unreliable
	"61 years"	"61"	"Male"	"M"	"#Measles (B05)"	"GR113-014"	0	33015653	Unreliable
	"61 years"	"61"	"Male"	"M"	"#Viral hepatitis (B15-B19)"	"GR113-015"	3197	33015653	9.7
	"61 years"	"61"	"Male"	"M"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	2252	33015653	6.8
	"61 years"	"61"	"Male"	"M"	"#Malaria (B50-B54)"	"GR113-017"	2	33015653	Unreliable
	"61 years"	"61"	"Male"	"M"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	1240	33015653	3.8
	"61 years"	"61"	"Male"	"M"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	132814	33015653	402.3
	"61 years"	"61"	"Male"	"M"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	3827	33015653	11.6
	"61 years"	"61"	"Male"	"M"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	6451	33015653	19.5
	"61 years"	"61"	"Male"	"M"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	2974	33015653	9.0
	"61 years"	"61"	"Male"	"M"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	12339	33015653	37.4
	"61 years"	"61"	"Male"	"M"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	9002	33015653	27.3
	"61 years"	"61"	"Male"	"M"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	9351	33015653	28.3
	"61 years"	"61"	"Male"	"M"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	1784	33015653	5.4
	"61 years"	"61"	"Male"	"M"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	41840	33015653	126.7
	"61 years"	"61"	"Male"	"M"	"Malignant melanoma of skin (C43)"	"GR113-028"	2469	33015653	7.5
	"61 years"	"61"	"Male"	"M"	"Malignant neoplasm of breast (C50)"	"GR113-029"	200	33015653	0.6
	"61 years"	"61"	"Male"	"M"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	0	33015653	Unreliable
	"61 years"	"61"	"Male"	"M"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	0	33015653	Unreliable
	"61 years"	"61"	"Male"	"M"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	0	33015653	Unreliable
	"61 years"	"61"	"Male"	"M"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	5929	33015653	18.0
	"61 years"	"61"	"Male"	"M"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	4232	33015653	12.8
	"61 years"	"61"	"Male"	"M"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	2896	33015653	8.8
	"61 years"	"61"	"Male"	"M"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	4191	33015653	12.7
	"61 years"	"61"	"Male"	"M"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	10737	33015653	32.5
	"61 years"	"61"	"Male"	"M"	"Hodgkin disease (C81)"	"GR113-038"	217	33015653	0.7
	"61 years"	"61"	"Male"	"M"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	4164	33015653	12.6
	"61 years"	"61"	"Male"	"M"	"Leukemia (C91-C95)"	"GR113-040"	3894	33015653	11.8
	"61 years"	"61"	"Male"	"M"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	2449	33015653	7.4
	"61 years"	"61"	"Male"	"M"	"Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue (C96)"	"GR113-042"	13	33015653	Unreliable
	"61 years"	"61"	"Male"	"M"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	14592	33015653	44.2
	"61 years"	"61"	"Male"	"M"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	1822	33015653	5.5
	"61 years"	"61"	"Male"	"M"	"#Anemias (D50-D64)"	"GR113-045"	441	33015653	1.3
	"61 years"	"61"	"Male"	"M"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	16383	33015653	49.6
	"61 years"	"61"	"Male"	"M"	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	340	33015653	1.0
	"61 years"	"61"	"Male"	"M"	"Malnutrition (E40-E46)"	"GR113-048"	315	33015653	1.0
	"61 years"	"61"	"Male"	"M"	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	25	33015653	0.1
	"61 years"	"61"	"Male"	"M"	"#Meningitis (G00,G03)"	"GR113-050"	102	33015653	0.3
	"61 years"	"61"	"Male"	"M"	"#Parkinson disease (G20-G21)"	"GR113-051"	750	33015653	2.3
	"61 years"	"61"	"Male"	"M"	"#Alzheimer disease (G30)"	"GR113-052"	829	33015653	2.5
	"61 years"	"61"	"Male"	"M"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	128521	33015653	389.3
	"61 years"	"61"	"Male"	"M"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	107056	33015653	324.3
	"61 years"	"61"	"Male"	"M"	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	335	33015653	1.0
	"61 years"	"61"	"Male"	"M"	"Hypertensive heart disease (I11)"	"GR113-056"	7638	33015653	23.1
	"61 years"	"61"	"Male"	"M"	"Hypertensive heart and renal disease (I13)"	"GR113-057"	497	33015653	1.5
	"61 years"	"61"	"Male"	"M"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	76395	33015653	231.4
	"61 years"	"61"	"Male"	"M"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	29187	33015653	88.4
	"61 years"	"61"	"Male"	"M"	"Other acute ischemic heart diseases (I24)"	"GR113-060"	867	33015653	2.6
	"61 years"	"61"	"Male"	"M"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	46341	33015653	140.4
	"61 years"	"61"	"Male"	"M"	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	18042	33015653	54.6
	"61 years"	"61"	"Male"	"M"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	28299	33015653	85.7
	"61 years"	"61"	"Male"	"M"	"Other heart diseases (I26-I51)"	"GR113-064"	22191	33015653	67.2
